,x,y,Temperature,Temperature_seasonality,rainseasonality,Precipitation,Humanpopdens,Human_footprint,PET,Ec.Het,EVI,Host_richness,Degree_of_generalism
47,-129.625,57.375,-1.170963137,0.380336238,-0.444963866,-0.531681634,-0.164319005,-0.965695121,-1.037826781,-0.17709307,-1.215594754,-0.478694075,1.851738451
48,-129.875,57.375,-1.168782928,0.330073757,-0.470133004,-0.510752408,-0.164319005,-0.958112739,-1.065731717,-0.034510996,-1.236349038,-0.486305747,0.975299609
49,-133.375,58.375,-0.931866953,0.077456294,-0.528860993,0.273840798,-0.164315958,-0.913234011,-1.126142539,2.405461771,-1.859046506,-0.37213066,-1.411875627
50,-134.625,59.125,-1.17968397,0.264273998,-0.657503254,-0.361214605,-0.164320178,-0.925157372,-1.170714641,1.942598895,-2.707047027,-0.364518988,-0.955784016
51,-145.125,65.125,-1.646975296,2.252745901,1.065184414,-1.053193458,-0.164319142,-0.924880077,-1.030548836,-0.929671642,-0.948221736,-0.577645817,0.097078032
52,-145.375,63.125,-1.598283976,1.642400666,2.035594513,-1.030140977,-0.164321473,-0.842763796,-1.097777305,0.252557068,-1.297824709,-0.554810799,0.82252468
53,-145.625,61.125,-1.258898207,0.601226612,-0.590385552,-0.145350366,-0.16430248,-0.755557679,-1.187011733,1.537911198,-1.535581817,-0.638539196,-1.408417714
54,-145.875,63.125,-1.543052031,1.656438888,2.066356793,-1.029837655,-0.16432167,-0.837559904,-1.070443225,0.205593833,-1.116847491,-0.554810799,0.543186472
55,-146.375,64.875,-1.398431543,2.173983712,0.788323896,-0.953299375,-0.164318178,-0.6822129,-1.012530758,-0.702785139,-0.481515871,-0.585257489,0.173965823
56,-146.625,65.125,-1.533604461,2.206275151,0.875017594,-0.975846319,-0.164291065,-0.78655327,-1.063740088,-0.674785029,-0.873958782,-0.570034144,-0.16107265
57,-146.875,63.125,-1.583749253,1.552051653,1.722378574,-0.979283969,-0.16432167,-0.869411778,-1.136131798,0.269692302,-1.208874228,-0.600480834,0.055776782
58,-147.875,63.375,-1.496540919,1.343735716,1.258147806,-0.889500623,-0.16432167,-0.894703547,-1.185555806,0.241133578,-1.278385824,-0.608092507,0.050136982
59,-148.375,61.125,-1.105556886,0.224610728,-0.632334116,-0.163246371,-0.164310641,-0.913620156,-1.26173993,1.710109727,-2.237723765,-0.608092507,0.173969965
60,-148.625,60.125,-0.830850632,-0.263217507,-0.383439307,0.546628488,-0.164285869,-0.908076779,-1.306374709,1.474293564,-2.365456501,-0.623315851,-1.41014667
61,-148.625,65.375,-1.392617654,2.153861084,1.163064396,-0.969375447,-0.164309533,-0.842738781,-0.950925142,-1.027581803,-0.588561601,-0.600480834,-0.255632961
62,-148.875,61.125,-1.197125637,0.182407881,-0.562419844,-0.259803911,-0.163696584,-0.699668787,-1.288258342,1.471274175,-2.186729478,-0.623315851,-0.889671143
63,-149.375,70.375,-2.20074822,2.244668632,1.216199243,-1.197069249,-0.163818996,0.106591541,-1.503003592,NA,NA,-0.973452784,-1.094740447
64,-149.875,67.125,-1.809764187,2.176170571,0.835865601,-0.963915649,-0.164319863,-0.93800953,-1.198088705,-1.25068955,NA,-0.722267593,0.225166279
65,-150.375,59.625,-0.698584658,-0.240555301,-0.162510206,0.089724274,-0.16432167,-0.772350762,-1.242995672,0.925944053,-1.483253504,-0.608092507,-1.408417714
66,-155.125,58.625,-0.724020423,0.093416836,-0.598775265,-0.124724462,-0.164320509,-0.966149573,-1.13496984,0.479374321,-0.614498402,-0.737490938,-1.158513274
67,-159.375,62.875,-1.213113832,1.447629145,1.090353552,-0.77383379,-0.16432167,-0.966149531,-1.165670477,-1.128204355,-0.533887037,-0.729879266,-0.144847217
68,-16.625,28.125,1.052122656,-1.060398081,1.960087099,-0.794763016,0.257433372,1.608378566,0.321734044,0.656352873,-0.994880163,-0.790772645,-0.56641999
69,-2.125,40.875,0.265067438,-0.15089409,-0.665892967,-0.57455116,-0.162529216,-0.371323727,0.178739561,-0.918773712,-0.338689917,-0.531975782,-0.708190912
70,-38.875,-12.125,1.824643153,-1.502972448,-0.640723829,0.117023264,0.463855597,1.357178726,1.28579531,0.559633434,0.645539056,1.249155573,-0.024032781
71,-4.125,37.375,0.888607029,-0.123452539,0.676461061,-0.498619523,-0.080580777,0.755545027,0.775401799,-0.741046553,-0.354068822,-0.455859057,-0.79334785
72,-4.125,40.375,0.733812236,-0.072978427,-0.263186758,-0.783843419,-0.014843822,1.663309867,0.464762918,-0.365369103,-0.307525431,-0.440635712,-0.399042963
73,-4.375,40.375,0.681487235,-0.09953818,-0.288355896,-0.810232444,-0.087151265,0.657447278,0.440472391,-0.438987147,-0.046889645,-0.455859057,-0.399042963
74,-4.625,40.375,0.483088274,-0.139889252,-0.319118176,-0.743703793,-0.110470211,0.134283121,0.355268399,-0.524874866,0.11169316,-0.478694075,0.198378163
75,-45.375,-22.125,1.251248354,-1.311569395,1.526618611,1.110403194,-0.102338022,0.362233383,1.567948305,-0.733459325,1.298935486,2.360459752,0.362560074
76,-5.125,38.875,0.970728211,-0.00887172,0.410786826,-0.612668639,-0.150281938,0.127222537,0.950766423,-0.850021228,-0.420515576,-0.440635712,-0.618781256
77,-5.125,40.875,0.471460496,-0.207928778,-0.39462559,-0.785157815,-0.133669847,0.551252198,0.378611343,-0.606531662,-0.285397513,-0.554810799,-0.3821662
78,-5.125,41.375,0.565936192,-0.210821075,-0.442167295,-0.829948381,-0.139518896,0.863922924,0.452114468,-0.811096745,-0.495779242,-0.524364109,-0.655879675
79,-55.625,-15.625,2.0106876,-1.546956527,1.179843821,0.98472673,-0.162042549,0.214429022,2.09379512,-0.90206157,1.023323387,2.109274561,-0.272347411
80,-55.625,-15.875,2.069553225,-1.530026007,1.213402672,0.915569288,-0.160359868,-0.121183412,2.151403354,-0.791846049,1.020807172,2.017934491,-0.272347411
81,-55.875,47.875,-0.367919723,0.196216836,-1.194444865,1.083104203,-0.153669412,-0.75971093,-0.678937875,-0.431080795,0.086661576,-0.661374214,-0.806458608
82,-55.875,48.125,-0.399896113,0.277254063,-1.239189999,0.955405593,-0.16432167,-0.90226566,-0.647166599,-0.506389798,-0.695001465,-0.684209231,-0.806458608
83,-56.125,47.875,-0.407163474,0.190361698,-1.202834577,1.026382968,-0.164315489,-0.85573601,-0.715175105,-0.420263633,-0.200562319,-0.661374214,-0.806458608
